50,50,5
100,50,5
150,50,5
200,50,5
250,50,5
300,50,5
350,50,5
400,50,5
450,50,5
500,50,5
550,50,5
600,50,5
650,50,5
700,50,5
50,100,5
700,100,5
50,150,5
700,150,5
50,200,5
100,200,5
150,200,5
200,200,5
250,200,5
300,200,5
350,200,5
400,200,5
450,200,5
500,200,5
550,200,5
600,200,5
650,200,5
700,200,5
50,250,5
700,250,5
50,300,5
700,300,5
50,350,5
700,350,5
50,400,5
100,400,5
150,400,5
200,400,5
250,400,5
300,400,5
350,400,5
400,400,5
450,400,5
500,400,5
550,400,5
600,400,5
650,400,5
700,400,5
50,450,5
700,450,5
50,500,5
100,500,5
150,500,5
200,500,5
250,500,5
300,500,5
350,500,5
400,500,5
450,500,5
500,500,5
550,500,5
600,500,5
650,500,5
700,500,5
